S.No.,state,NFHS - 3 (2005-06) - Total,NFHS - 3 (2005-06) - Rural,NFHS - 3 (2005-06) - Urban,DLHS - 3 (2007-08) - Total,DLHS - 3 (2007-08) - Rural,DLHS - 3 (2007-08) - Urban,CES (2009) - Total,CES (2009) - Rural,CES (2009) - Urban,DLHS - 4/AHS - 3 (2012-13) - Total,DLHS - 4/AHS - 3 (2012-13) - Rural,DLHS - 4/AHS - 3 (2012-13) - Urban,RSOC (2013-14) - Total,RSOC (2013-14) - Rural,RSOC (2013-14) - Urban,NFHS-4 (2015-16) - Total,NFHS-4 (2015-16) - Rural,NFHS-4 (2015-16) - Urban
,India,43.5,38.6,57.6,53.5,50,62.5,61,58.5,67.4,NA,NA,NA,65.3,62.4,72,62,61.3,63.9
1,Andhra Pradesh,46,42.9,51.2,66.7,64.7,73,68,69.8,63.2,60.9,62.8,56,74.1,74.8,72.2,65.3,67.2,60.4
2,Assam,31.4,31.7,29.3,50.7,50.2,55.2,59.1,61,45.7,64.4,63.8,68.4,55.3,53.8,66.4,47.1,44.4,70.9
3,Bihar,32.8,31.1,45.6,41.4,41.4,41.3,49,48.7,51.6,69.9,69.7,72.1,60.4,60.6,58.4,61.7,61.9,59.7
4,Chattisgarh,48.7,43.1,74.7,59.3,57.2,71.3,57.3,52.7,75.6,74.9,73.9,79.4,67.2,66.4,70.1,76.4,74.3,84.9
5,Gujarat,45.2,40.1,54.7,54.8,51.3,66.8,56.6,60.5,50,NA,NA,NA,56.2,53.6,59.9,50.4,50.4,50.4
6,Haryana,65.3,60.3,82.2,59.6,55.9,70.9,71.7,69.9,76.1,52.1,50.9,54.5,70.7,70.9,70.1,62.2,65.1,57
7,Jharkhand,34.2,29.5,51,54,52.4,68.9,59.7,56.3,71.6,69.9,68.5,75.4,64.9,61.5,75.7,61.9,60.7,67
8,Karnataka,55,52.2,59.6,76.7,76.5,77.3,78,78.5,77,77.6,76.4,79.5,79.4,78.9,80.2,62.6,64.8,59.8
9,Kerala,75.3,69.4,87.5,79.6,80.3,77,81.5,81.5,81.7,82.6,81.7,83.4,83,82.1,83.9,82.1,82,82.2
10,Madhya Pradesh,40.3,31.5,68.7,36,31.2,54.2,42.9,36.9,59.5,66.4,63.5,73.8,53.5,51.4,59.4,53.6,50.2,63
11,Maharashtra,58.8,49.8,68,69,67.6,72.6,78.6,73.8,85.1,66.2,66.8,65.3,77.4,75.6,79.6,56.3,56.7,55.8
12,Odisha,51.8,51.6,52.7,62.3,60.9,74.2,59.5,59.3,60.9,68.8,68.9,68.2,62,62.1,61.6,78.6,79.2,75
13,Punjab,60.1,58.1,64.4,79.8,80.5,77.8,83.6,84,82.9,68.4,67.2,70.7,78.6,78.4,78.9,89.1,89.3,88.7
14,Rajasthan,26.5,22.1,44.3,48.7,46.6,58.4,53.8,54.4,51.9,74.2,72.6,80.1,60.7,55.6,74.7,54.8,53.1,60.9
15,Tamil Nadu,80.9,83.7,77.8,81.6,82.6,80,77.3,76.1,78.7,56.2,58.6,53.1,76.3,72.8,80,69.7,66.8,73.3
16,Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,48.8,45.9,NA,NA,NA,68.1,68.3,67.8
17,Uttar Pradesh,23,20.5,33,30.2,29.3,35.2,40.9,38.3,50.8,52.7,51.6,57.8,46.9,43.4,60.3,51.1,50.4,53.6
18,West Bengal,64.3,62.8,70.3,75.7,75.6,76.4,64.9,65.8,62.7,79.5,80.9,76,75.2,74.3,77,84.4,87.1,77.7
19,Arunachal Pradesh,28.4,21.1,51.2,13.3,13.6,12.6,24.8,23,31.8,49.2,44.6,64,50.5,47,62.5,38.2,36.4,44.2
20,Delhi,63.2,NA,63.2,67.3,65.4,67.5,71.5,69,71.7,NA,NA,NA,69.7,58.9,70,66.4,NA,66.2
21,Goa,78.6,73,83.5,89.8,93.1,86.6,87.9,92.9,82.8,89.1,89.3,89,91.9,95.1,90,88.4,90.1,87.7
22,Himachal Pradesh,74.2,73.6,80,82.2,81.7,87.8,75.8,76.3,71.2,62.9,62,72.2,80.2,81.5,66.9,69.5,69.9,64.8
23,Jammu & Kashmir,66.7,64.9,73,62.2,59.9,77.1,66.6,64.5,72.9,NA,NA,NA,59,55.8,70.3,75.1,72.9,81.6
24,Manipur,46.8,42.8,59.6,47.4,42.6,65.7,51.9,46.8,66.3,54.1,46.5,69.2,55.2,49.9,64.2,65.8,61.7,74.3
25,Meghalaya,32.9,32.6,33.8,33.1,30.6,54.8,60.8,65.9,39.5,49,46.8,61,44.6,43.9,47.5,61.5,58.5,81.4
26,Mizoram,46.5,36.6,57.1,54.2,46.7,66.9,73.7,70.1,77.4,71.2,59.9,82,68.6,65,70.9,50.5,51.3,49.8
27,Nagaland,21,17.1,36,NA,NA,NA,27.8,24.8,42.5,35.6,35.6,35.5,33.2,33.4,32.8,35.7,33.4,41.6
28,Sikkim,69.6,66.7,85.4,76.8,76.1,94.7,85.3,84.9,87.9,85.2,86.2,81.5,77.8,79.7,71.6,83,83.7,81.4
29,Tripura,49.7,49.7,NA,38.2,35.9,63.4,66,63.7,77.3,47.8,44.1,64.9,59.2,56.2,68.5,54.5,51.2,64.2
30,Uttarakhand,60,57.4,67.2,62.9,61.3,72.9,71.5,70.3,74.9,79.6,78.1,83.7,68.6,65.6,74.4,57.7,58.2,56.5
31,Andaman & Nicobar Islands,NA,NA,NA,84.5,84.5,84.6,71.3,73.8,69.3,75,67.7,88.2,NA,NA,NA,73.2,82.5,61.8
32,Chandigarh,NA,NA,NA,73,61.1,74.2,NA,NA,NA,85.8,87.1,85.2,NA,NA,NA,79.5,NA,77.2
33,Dadra & Nagar Haveli,NA,NA,NA,57.3,53.4,73.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,35.1,NA
34,Daman & Diu,NA,NA,NA,84.5,87.8,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3,62.4,67.8
35,Lakshadweep,NA,NA,NA,86.1,83.1,89.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9,NA,86.1
36,Puducherry,NA,NA,NA,83.5,96.1,79.3,NA,NA,NA,66,61,68.3,NA,NA,NA,91.3,85.4,93.9
